timestamp,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ,gyroX,gyroY,gyroZ,yaw,pitch,roll,quatX,quatY,quatZ,quatW
12617,-0.0004953934,0.0001303577,-0.008349998,0.0007625673,-0.005805018,-0.1211885,8.830131,0.1245029,-0.9098291,47.5,3.5,-13.625,8.563741,-83.60003,-170.5277,-0.7367478,-0.6578071,0.1103496,0.1109755
12629,-0.0004653273,3.598777E-05,-0.01012512,0.002311178,-0.007254203,-0.1364535,8.557182,0.004788574,-0.8523662,65.25,5.25,-15.75,10.08287,-83.75892,-171.5511,-0.735334,-0.6583568,0.1142358,0.1131381
12640,-0.0004202834,-6.496082E-05,-0.01210199,0.003407514,-0.007636628,-0.1495473,8.739148,-0.06704004,-0.8571548,80.375,6.125,-17.875,11.79347,-83.9292,-172.5557,-0.7336044,-0.6587707,0.1194079,0.1165663
12652,-0.0003756581,-0.0001556929,-0.01409842,0.003513522,-0.007143693,-0.1571868,9.122234,-0.1436572,-0.9241948,87,5.625,-18.125,13.41096,-84.07358,-173.41,-0.7319213,-0.6589429,0.1248041,0.120455
12663,-0.0003531565,-0.0002417,-0.01621023,0.001729165,-0.006609326,-0.1622849,9.318565,-0.1867544,-1.063064,80.75,5,-15.625,14.75093,-84.18449,-174.0507,-0.73047,-0.6589407,0.1296297,0.1241248
12675,-0.0003724786,-0.0003248801,-0.01837732,-0.001479715,-0.00637005,-0.1659587,9.419126,-0.2011201,-1.168412,65,5.125,-11,15.50683,-84.27245,-174.3136,-0.7293783,-0.6589814,0.1328939,0.1268462
12686,-0.0004405869,-0.0004103247,-0.0206107,-0.005163626,-0.006477979,-0.169324,9.443069,-0.191543,-1.197144,42.625,5.875,-5.125,15.50727,-84.35707,-174.1151,-0.7286624,-0.6592954,0.1339988,0.1281603
12698,-0.0005474034,-0.000509772,-0.02280943,-0.008416711,-0.007836049,-0.1732506,9.390394,-0.09577148,-1.192355,25.125,6.5,-0.5,15.04965,-84.43944,-173.6919,-0.7282423,-0.659843,0.1334896,0.1282617
12709,-0.0007023851,-0.0006524632,-0.0251442,-0.01183067,-0.01089246,-0.1782271,9.318565,0.01436572,-1.221087,16.25,7,2.75,14.3133,-84.51942,-173.1104,-0.7279777,-0.6605065,0.1321307,0.1277536
12721,-0.0009084147,-0.0008467126,-0.02755922,-0.01569749,-0.01479995,-0.1840011,9.256314,0.05267432,-1.254606,14.5,8.25,5.25,13.27747,-84.60286,-172.2547,-0.7277231,-0.6612161,0.1304617,0.1272484
12732,-0.001181242,-0.001106212,-0.03019695,-0.01979306,-0.01882617,-0.191362,9.165331,0.03352002,-1.225875,15.75,10.125,6.625,11.89812,-84.71146,-171.0483,-0.7273062,-0.6620819,0.128651,0.1269735
12744,-0.0014654,-0.001393547,-0.03280376,-0.02187679,-0.02212135,-0.2006932,8.997731,0.03352002,-1.043909,18.375,11.125,7.375,10.40043,-84.84501,-169.6801,-0.7266741,-0.6630757,0.1270566,0.127012
12756,-0.001760689,-0.0017239,-0.03562937,-0.02229439,-0.02494172,-0.2133342,8.777456,0.02873145,-0.8619434,20.625,10.625,7.5,8.761637,-84.99343,-168.1434,-0.7259,-0.6641555,0.1255885,0.1272565
12767,-0.002057499,-0.002071627,-0.03854454,-0.02308372,-0.02704362,-0.2267209,8.691262,-0.04309717,-0.8427891,20.75,9.125,7.375,7.051138,-85.11079,-166.5296,-0.7252787,-0.6650514,0.1241522,0.1275296
12779,-0.002442752,-0.002480026,-0.04196515,-0.02706945,-0.02869582,-0.2403462,8.758303,-0.1867544,-1.019966,15,8.375,7.75,4.8818,-85.18338,-164.5488,-0.7249765,-0.6658029,0.1219641,0.1274376
